Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1016/j.matchemphys.2023.127307,2023,Na0.7MnO2.05,,800.0,4.0,Cycling performance,500.0,92.9,,,0.1,2.0,4.5,"{'Na': '0.7', 'Mn': '1', 'O': '2.05'}"
10.1016/j.jpowsour.2016.10.067,2016,NaNi0.5Zn0.17Sb0.33O2,NNS,1020.0,12.0,Rate performance,,145.0,,,0.1,,,"{'Na': '1', 'Ni': '0.5', 'Zn': '0.17', 'Sb': '0.33', 'O': '2'}"
10.1016/j.jpowsour.2016.10.067,2016,NaNi0.5Zn0.17Sb0.33O2,NNS,1020.0,12.0,Cycling performance,10.0,,20.0,,0.1,2.7,4.2,"{'Na': '1', 'Ni': '0.5', 'Zn': '0.17', 'Sb': '0.33', 'O': '2'}"
10.1016/j.colsurfa.2021.127929,2022,O3-Na0.9Cr0.5Fe0.5O2,NCF,900.0,12.0,Rate performance,,118.56,,,0.1,2.0,4.0,"{'Na': '0.9', 'Cr': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.jpowsour.2017.04.076,2017,Na0.67Mn0.89Al0.11O2,,750.0,12.0,Rate performance,,162.3,,,0.1,,,"{'Na': '0.67', 'Mn': '0.89', 'Al': '0.11', 'O': '2'}"
10.1016/j.jpowsour.2017.04.076,2017,Na0.67Mn0.89Al0.11O2,,750.0,12.0,Rate performance,,162.3,,,0.1,2.0,4.0,"{'Na': '0.67', 'Mn': '0.89', 'Al': '0.11', 'O': '2'}"
10.1016/j.jpowsour.2017.04.076,2017,Na0.67Mn0.89Al0.11O2,,750.0,12.0,Rate performance,,162.4,,,0.1,2.0,4.0,"{'Na': '0.67', 'Mn': '0.89', 'Al': '0.11', 'O': '2'}"
10.1016/j.electacta.2016.04.067,2016,Na0.67Mn0.4Co0.2Ni0.4O2,,900.0,10.0,Rate performance,,20.0,,,0.1,1.5,4.2,"{'Na': '0.67', 'Mn': '0.4', 'Co': '0.2', 'Ni': '0.4', 'O': '2'}"
10.1016/j.jpowsour.2017.04.076,2017,Na0.67MnO2,,750.0,12.0,Rate performance,,154.1,,,0.1,2.0,4.0,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1016/j.jpowsour.2017.06.014,2017,Na1.33Ni0.33Te0.33O2,,900.0,10.0,Rate performance,,111.0,,,0.1,,,"{'Na': '1.33', 'Ni': '0.33', 'Te': '0.33', 'O': '2'}"
10.1016/j.jpowsour.2017.06.014,2017,Na1.33Ni0.33Te0.33O2,,900.0,10.0,Rate performance,,111.2,,,0.1,,,"{'Na': '1.33', 'Ni': '0.33', 'Te': '0.33', 'O': '2'}"
10.1016/j.matchemphys.2023.127307,2023,Na0.7MnO2.05,,800.0,4.0,Cycling performance,1.0,109.56,,,0.1,2.0,4.5,"{'Na': '0.7', 'Mn': '1', 'O': '2.05'}"
10.1016/j.compositesb.2022.109912,2022,Na0.75Mn0.5Fe0.25Cu0.25O2,NFCM-3,850.0,6.0,Rate performance,,100.0,,,0.1,2.5,4.1,"{'Na': '0.75', 'Mn': '0.5', 'Fe': '0.25', 'Cu': '0.25', 'O': '2'}"
10.1016/j.apsusc.2022.155097,2023,P2-Na0.8Mn0.9Cu0.1O2,NCMO,900.0,12.0,Cycling performance,50.0,,45.8,,0.1,1.5,4.5,"{'Na': '0.8', 'Mn': '0.9', 'Cu': '0.1', 'O': '2'}"
10.1016/j.apsusc.2022.155097,2023,P2-Na0.8Li0.15Mn0.75Cu0.1O2,NLCMO,900.0,12.0,Cycling performance,50.0,,71.6,,0.1,1.5,4.5,"{'Na': '0.8', 'Li': '0.15', 'Mn': '0.75', 'Cu': '0.1', 'O': '2'}"
10.1016/j.jpowsour.2023.232930,2023,NaMn0.45Fe0.3Cu0.25O2,NFMCu-0.2,800.0,15.0,Cycling performance,100.0,,82.9,,0.1,2.1,4.3,"{'Na': '1', 'Mn': '0.45', 'Fe': '0.3', 'Cu': '0.25', 'O': '2'}"
10.1016/j.jpowsour.2023.232930,2023,NaMn0.45Fe0.3Cu0.25O2,NFMCu-0.2,800.0,15.0,Rate performance,,104.3,,,0.1,2.1,4.3,"{'Na': '1', 'Mn': '0.45', 'Fe': '0.3', 'Cu': '0.25', 'O': '2'}"
